"SYMBOL"	"ENTREZID"
"KIF1A"	"547"
"NCAPH"	"23397"
"CNOT11"	"55571"
"DPP10"	"57628"
"ASXL2"	"55252"
"DDX18"	"8886"
"ERCC3"	"2071"
"XRCC5"	"7520"
"USP3"	"9960"
"DLL4"	"54567"
"ZNF710"	"374655"
"DNAJC17"	"55192"
"SNX1"	"6642"
"MRPL46"	"26589"
"LEO1"	"123169"
"AP4E1"	"23431"
"ICE2"	"79664"
"GABRG3"	"2567"
"NEO1"	"4756"
"FAM98B"	"283742"
